City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
293,Gat,IL,2020-10-24 19:06:25,31.61,34.76,78.8,74,40,4.7
294,Saurimo,AO,2020-10-24 19:06:26,-9.66,20.39,69.8,78,6,3.13
295,Namatanai,PG,2020-10-24 19:06:26,-3.67,152.43,79.34,79,32,2.84
296,Minyar,RU,2020-10-24 19:06:26,55.07,57.55,42.84,93,100,6.46
297,Uruguaiana,BR,2020-10-24 19:06:26,-29.75,-57.09,84.2,54,0,3.36
298,Sechura,PE,2020-10-24 19:06:27,-5.56,-80.82,73.56,56,21,17.6
299,Tutoia,BR,2020-10-24 19:06:27,-2.76,-42.27,84.16,70,2,15.14
300,Nefteyugansk,RU,2020-10-24 19:06:27,61.1,72.6,24.8,92,40,8.95
301,Charters Towers,AU,2020-10-24 19:06:27,-20.1,146.27,71.1,82,0,5.95
302,Doha,QA,2020-10-24 19:02:02,25.29,51.53,82.4,61,0,2.24
303,Lethem,GY,2020-10-24 19:06:28,3.38,-59.8,95.83,38,64,7.05
304,Kavaratti,IN,2020-10-24 19:06:28,10.57,72.64,81.57,73,74,6.33
